'conectar'|tupachiy
primera fase de la luna|ch'isikilla
primera piedra|tiksi rumi; tiqsi rumi
primero|ñawpaq; huk kaq; hukñiqi; ñawpa; ñawñiqi; ñawpañiqi
primeros frutos que se obtienen de las siembras tempranas de los cultivos en el mes de febrero en la fiesta de la Virgen de la Candelaria en Puno|ispalla
primitivo|ñawpa
primo|primu; qayri
primo de la mujer|sispa tura
primo del varón|sispa wawqi; sispa wayqi
primo hermano (de la mujer)|sispa tura
primo hermano (del varón)|sispa wawqi; sispa wayqi
primogénito|phiwi
primogénito varón|phiwi wawa
primoroso|sumaq; pawqarquri
princesa|ñust'a
principal|hatun; athun; qhapaq; ñawpaq
principal de los caballeros nobles|sapay awki
principalmente|yari
principiar|q'allariy; qallariy; qallay
principio|saphi; sapi; tiksi; t'iqsi; tiksa; tiqsi; t'iksi; thaksi; qallariy; yachachiy
principio del linaje|paqarichiq machu chawchu (hurutmi)
pringoso|qhirqi
prisa|usqhay; usqay; kallpa
prisionera|piñas
prisionero|piñas; sank'asqa
prisión|watay wasi; wataywasi
prisma|sunchi
privado|hukllapaq
privar|hark'ay
probablemente el nombre original de Sacsayhuaman, la fortaleza del Inca en el Cuzco (significa Águila real la mayor y no halcón satisfecho como se ha interpretado generalmente)|Sasawaman; Sasaywaman
probado|mallisqa
probadura de alimentos|llami
probar|rikurichiy; rikhurichiy; suway; malliy; llamiy; kamay
probar el sabor|malliy
problema|t'ituna; sasawa; llaki
probo|sut'i sunqu
probárselo|mallipuy; llamipuy
proceder|hinay
procesión|ayma
proclamar|waqyanchay
procreador|mirachiq
procrear|yumay; mirachiy; churiyay
procurador de pobres colonial|wakcha pitiwikuq; wakcha rimapukuq
producir|ruruy; puquy; ruruchiy; wachay; miray
producir hijos|churiyay
producir humo|q'usñiy; q'usñikipay
producirse la comezón|k'aray
productivo|puquna
producto|ruru; hayt'ukaynin; puquynin; lluqsiynin
profanar|p'akinchay
profesor|amawt'a; amawta; hamawt'a; yachachiq; yachachiqi
profesora|yachachiq; yachachiqi
profeta|prufita; sut'inchaq
profetizar|prufitisay; sut'inchay
profundizar|ukhuchay; suniyachiy; ukhunchay
profundizarse|suniyay
profundo|uku; ukhu; suni; ukunta
progresar|qallallay; qallayay; hatariy
prohibido (para evitar situación peró no en preguntas y repuestos)|ama
prohibir|hark'ay
proliferar|miraykuy; miray
prolongar|suniyachiy
prolongar tirando|ch'utay; chutay
promediar|kuskachariy
promedio|kuskanchaku
promesa|hunt'ana; sullullchay; simiñisqa; siminisqa
prometer|sullullchay; simiwañuy
promontorio|muqu
pronombre|suti ranti; sutiq rantin
pronosticar|watuy
prontamente|usqaylla
pronto|pisipachapi; wayrachaki; wayra chaki; usqhay; usqay; usqhaq; kamarisqa
pronunciar|rimariy; k'amiykuy; t'uqyay
pronunciar bien|simita k'askachiy; rimayta k'askachiy
propagarse|ch'iqiriy; mismiy
propiedad pública|llaqtaq kaynin
propietario|-yuq; wasiyuq; dwiñu; kayniyuq
propina|t'inka; prupina
propinar puñetes|saqmay
propinarse mútuamente golpes con el pecho y codos|t'iqinakuy
propio|kikin
propio al natural de uno|kamallay; chayaqillay; kamayniypa chayaqin; tupullay
proporcionado|kamallay; chayaqillay; kamayniypa chayaqin; tupullay
proporcionarse ventaja de|usachikuy
proporción|watiwa; chhikawa
proposición|hamut'ay
propuesta|mañaqa
prosperar|qhapayay
prostituta|panpa runa; pampayruna; aricha; paytu; qula warmi; chiqchikiru; panpa warmi
prostituya|phisu
protección|yanapay; amachay
protector|hark'aykuq; yanapaqi; amachaq; marka; manchayruna kaphaqinchi
proteger|hark'ay; yanapay; hamachay; amachay
proteger una planta de la luz|hallmay
protegerse|hark'akuy
protejar|uyway
protestar|thutuy
protestón|thawti
protuberancia|q'upu; qhupu; muqu
protuberancias|qhupuchakuna
proveer|kamay
proverbio|rimakuy; hamut'asqa
provincia|llaqta; k'iti suyu; marka; suyu; kiti; k'iti; kita
provincia de 10000 habitantes|wamani
provincia de Antisuyo (hoy: Bolivia), cuyos habitantes eran y siguen siendo hábiles herbolarios|Kallawaya
provincia de cien familias|pachaka
provincia en el departamento del Qosqo (Perú)|K'ana; Qispiqanchi; Ch'umpiwillka
provisiones|quqawi; quqaw
provisión diaria|achura
provocar|phiñachiy
provocar con canciones|takipayay
provocar estreñimiento|k'iskichikuy
provocardolor|nanachiy
proxeneta|kachapuri
proximo|hamuq; sispa
proyectar|umallikuy; kamariy
proyecto|ruwaykama
prudente|ruq'a
prueba|llamirina; yañaychaku; halq'a; suyk'u; taripay; malli; rikurichiy; rikhurichiy; sut'ichakuy; hanaycha; llami
prurito|siqsi
práctica|ruway
préstamo|manuy; ayniy
prímogénito|phiwi
príncipe|awki
príncipe heredero del Inka|Inkap sapay churin
prójimo|runamasi; runa masi; kawsaqimasi; masi
prójimo mendigo|wakchamasi
prójimo pobre|wakchamasi
próspero|usapu
próximo|qaylla; qatiq; hawa; hamuq; sispa
publicar|uyaychay
puchero|kamilu; kulis yanu
pudrido|mawk'a
pudrir|ismuy; ismuykuy; ismuyay
pudrirse|ismuriy; ismuy; ismuykuy; ismuyay
pueblito detrás de Mayu Tampu (Bolivia)|Mama Wata
pueblo|llaqta; marka; ayllu
pueblo (capital de distrito)|llaqta ayllu
pueblo abandonado|purun llaqta
pueblo al Camino Inka en el departamento del Qosqo, provincia de Urupampa (Perú)|Wayllapampa
pueblo al oeste del lago Titicaca|Pumata
pueblo andino cerca de Cuzco cuyos habitantes dicen que fue construido directamente bajo la vía láctea|Misminay
pueblo antiguo en el departamento actual de Ayacucho y una parte de Apurímac (Perú), enemigos de los Inkas, conquistados por Pachakutiq|Chanka
pueblo antiguo en el departamento actual de Junín (Perú), enemigos de los Inkas, conquistados por Pachakutiq|Wanka
pueblo antiguo en el departamento del Qosqo (Perú)|Tampu
pueblo antiguo en el valle del Qosqo, conquistado por Manqu Qhapaq|Walla
pueblo antiguo en que es actualmente Ecuador (Cañaris), enemigos de los Inkas, conquistados por Tupaq Yupanki|Kañari
pueblo antiguo habitando en la zona del lago Titicaca, y su lengua extincta|Pukina
pueblo antiguo y ciudad en el departamento de Amazonas (Perú)|Chachapuya
pueblo antiguo y provincia en el departamento de Lima (Perú)|Yawyu
pueblo antiguo y provincia en el departamento del Qosqo (Perú)|Qanchi
pueblo aymara que vive en el altiplano|Aymara
pueblo belicoso que habitaba el río Madre de Dios|ch'unchu; chunchu
pueblo cerca de Betanzos (Bolivia)|Puna
pueblo cerca de Betanzos (Bolivia) donde hay baños termales|Chaqi
pueblo cerca de Betanzos (Bolivia) donde hay mercado dominical|K'ullku
pueblo cerca de Potosí (Bolivia)|Mankiri
pueblo conquistado por Ruka Inka al oriente de Qhochapanpa|Puquna
pueblo de Oruro (Bolivia)|Qaqachaqa
pueblo del Perú, sometido por el principe Ruka, hijo de Qhapax Yupanki Inka|Nasqa; Naska
pueblo del campo|hawa llaqta
pueblo del norte de la paz|Chuma
pueblo desierto|purun llaqta
pueblo donde hay gran soledad y silencio sin ruido alguno|ch'inniq llaqta
pueblo donde se encuentra el Puente del Diablo, cerca de Betanzos (Bolivia)|Yuqalla
pueblo en el departamento de Apurimaq (Perú)|Tampupampa
pueblo en el departamento del Qosqo (Perú)|Chukuwitu; Wak'arpay; Limatanpu; Saylla; Kutapanpa; Uqunqati; Panpamarka
pueblo en el departamento del Qosqo (Perú), capital provincial de Qispiqanchi|Urqu
pueblo en el departamento del Qosqo (Perú), provinvia de Qispiqanchis|Pikillaqta
pueblo en el departamento del Qosqo, provincia de Ch'umpiwillka (Perú)|Liwitaka
pueblo en el departamento del Qosqo, provincia de Qispiqanchi (Perú)|Lukri; Antawaylla(cha)
pueblo en el departamento del Qosqo, provincia de Urupampa (Perú)|Ullantaytampu; Chinchiru; Yukay; Maras
pueblo entre Potosí y Betanzos (Bolivia)|Mayu Tampu
pueblo grande|hatun llaqta
pueblo habitando en la zona del lago Titicaca, todavía quedan familias de él en algunas islas de los lagos Titicaca y Poopó, y su lengua|Uru
pueblo joven|musuqllaqta
pueblo natal|marka
pueblo norte de Potosí (Bolivia)|Punpuri
pueblo nuevo|musuqllaqta
pueblo pequeño|llaqta
pueblo que existe al norte del Cuzco|Chincha
pueblo que no tiene gente|ch'inniq llaqta
pueblo quechua|qishwa; qhishwa; qiswa; qhiswa; k'iswa; qhishwa runa
puede ser (duda)|ichá; icha
puedeser|-nacha
puente|chaka
puente colgante|q'iswa chaka
puente incáico|q'iswa chaka
puerca|china khuchi
puerco|khuchi
puerperio|hamanta
puerta|punku
puerta de vaca|waka punku
pues|a; -qa; yari; hinaspa; -ri; ari; a [a]
puesta del sol|intiyaykuy; inti yaykuy; akupana
puesto|churasqa; kuska
puesto de mercancias|qhatu
puesto de venta|ranqhana wasi; qhatu
pujar|quqmay
pujar con los dolores del parto|qumay
pujar en el parto y para la defecación|quqmay
pulga|piki; k'uti
pulga que penetra la piel entre los dedos del pie|piki chaki
pulgar|mama ruk'ana; mamaruk'ana
pulgoso|ch'iyasapa
pulido|llamp'u; llanp'u; llusp'i
pulir|llusp'ayachiy; llamp'uchiy; llanp'uyachiy
pulmones|surq'ankuna; surq'an; surk'an
pulmón|puywan; surq'an; surk'an; kiwchwa; phusan
pulmón derecho|paña surq'an
pulmón izquierdo|lluq'i surq'an
pulmón, hombros y parte superior del cuerpo, y síntomas en esa área del cuerpo (dolor del hombro como consecuencia del trabajo o, a veces, dolores de respiración, sofocación)|pulmun
pulsera|chipana
pulso|sirk'ap t'ik-t'ik ñiynin
pulular|llunp'iy; aywiy
pulverizar|ñut'uy; ñutuy; kutay
puma|puma; titiqaqa
puna|alqa; altu; puna
puna (en Perú central, también más alto de 4000 m)|halqa; sallqa; halq'a
pundoroso|p'inqayniyuq
punta|witu; t'urpun; kantu; p'ichin; ñawpin; ñawch'in
punta de lanza|chukiq ñawch'in; chukiq ñawin
punta grande|waka punku
puntada|t'ipana
puntapié|hayt'a
puntiagudo|t'urpu; k'awchi
punto|luni; ch'iñi unancha; t'uspi; t'upsi; t'urpu
punto cruzado|kumpasqa
punto de vista|qhawariylla; rikuylla
punto en la cara|mirkha
puntos de colores contrarios en el tejido (lit. ojo)|ñawi
punzada en el corazón|sunqu t'urpuy
punzante|t'urpu
punzar|t'uqsiy
punzar o dar de estocadas|t'uqsiy
punzón|t'uqsina
pupa (planta parásita que crece sobre otros árboles. De hojas menudas, flores anaranjadas, frutos de cáscara roja, de semilla cubierta de sustancia gomosa y blanca. El pájaro que lo come lleva esa semilla pegajosa a otros árboles donde se limpia el pico)|pupa
pupila|ñawilla; ñawinlla; ñawi ruru; ñawiruru; ñawi yana
pupila del ojo|ñawinlla
purificación ritual del cuerpo, a cual se frota o ata ropa o comida, que es después quemada|pichasqa
purificar|llumpaychay
purificar el alma|ukhu sunquta (animata) chuyayachiy
puro|pura; ch'uya; ch'uwa
purpúreo|khuchinilla
purush|purus
purush (planta enredadera de frutos dulces y ácidos)|purus
puré de papa|ñut'u papa
pus|q'iya
pusilámine|huch'uysunqu
pusilánime|pisi sunqu; q'iwa
puta|chiqchikiru; qhula; qula warmi; panpa runa; pampayruna
putrefacción|ismuy
putrefacto|liqhi
puñado|puqtu; maki; ch'uqmi
puñal|lluki; t'uqsina
puñetazo|saqma; ch'uqmi
puñete|saqma; ch'uqmi
puñetear|saqmay
puño|maki muqu; saqma; ch'uqmi
página|uya; rap'a; p'anqa; raphi; rapi
pájaro|ispiritu; urpi; urpu; urpita; pichitanka; phichitanka; khuru; urpitu; pichinchu; pinchinchu; pisqu; p'isqu
pájaro burlón|chawkatu
pájaro carpintero|yakayaka; hak'akllu; akakllu; hak'aqllu; hak'achu
pájaro carpintero andino|hak'akllu; akakllu; hak'aqllu; hak'achu
pájaro cual come huevo otro|taraqchi
pájaro de plumaje azul|q'usñichi
pájaro de plumaje pardo y oscura de canto melodioso|taraqchi
pájaro de plumaje plomizo y blanco|liqiliqi
pájaro del valle|chiwillu; chiwillu; chiwanku; chiwaku; q'iririnka
pájaro dentirrostro|chiwillu; chiwanku; chiwaku
pájaro mosca|qinti; q'inti
pájaro pequeño de color marrón|chhiru chhiru
pájaro que anuncia con su canto el amanecer|pukupuku
pájaro que vuela al ras del suelo|yakayaka
pájaro tiránido que vive en tierras bastante altas|waychu
pájaro zambullidor|mayuchhulla; mayuchulla
pálido|k'illu; q'illu
páncreas|k'aran; suyk'upin; k'iririn; k'ayrapin; k'iphchan
pánico|manchay
páramo|alqa; purun
párpado|llipi; ñawi qara; chipchi
párvulo|wawa; t'una; wanra; warma; irk'i; irqi; hirq'i; irqhi; irq'i
páucar|pawkar; pawqar
pérdida de fuerzas|kallpawañuy
pícaro|challi; k'umu k'umu
pífano (en el ejército del Inka)|awqay pinkullu
pómulo|k'akllatullu; k'aklla tullu; k'aklla; uya ch'utu
púa vegetal|kiska; khiska; khishka
púber|warma; wanra; warma
público ladrón cursado o conocido|yachasqa uyay suwa
que|pichus
que (exclam.)|may
que (pron.rel.)|ima(kuna-ta)n
que agrada|kusaq
que alcanza|paqta
que anda sin zapatos|q'ala chaki
que arroja la plata fundida|qulqi k'aha
que ataja|hark'aq
que camina arrastrándose|such'u; suchu
que camina tambaleando|ayru ayru
que conforme a su talento|kamallay; chayaqillay; kamayniypa chayaqin; tupullay
que consigue sus propósitos propuestos|usapu
que contiene fuego|ninayuq
que cumple fielmente lo que dijo y no engaña|chiqan simi
que defiende|hark'aq
que deja de crecer|k'irinchasqa
que ella ...|-chun
que ellas ...|-chunku
que ellos ...|-chunku
que es capaz de absorber todas las energías vitales|inqa
que escoge sólo lo mejor para comer|q'usu
que está cosido|sirasqa
que está siendo ahí|chaypi kashaq
que está siendo con otro|huqwan kashaq
que expresa tristeza|llakikuq
que goza de buena salud|thani
que ha perdido la dentadura|phallpa
que hace|ruwaq
que hace reír|asichiq
que hace sufrir|ñak'arichiq
que hacer|ruwana
que lleva cuernos muy grandes|waqrasapa
que lleva una camisa sucia|qhushqu kunka; qhusqulli
que llora y endecha a los muertos|waqapukuq
que no entiende|lari
que no existe|mana kaq; ch'usaq
que no hace abastecer a todos|waqwallimaki
que no siente ni hace caso de las heridas|mana ch'uqrinta yupaychaq
que no tiene ropa o vestido|p'achannaq
que no trae zaraguelles o pañetes|warannaq; mana warayuq
que pastorea|mich'iq
que perdió los dientes|llamu
que roba el corazón|sunqu apaq
que sabe bien torcer|q'iwiykamayuq
que se acaba rápido|waqwalli
que se adorna y viste muy lucido y vistoso|wallpapu; churapu
que se da antes de tiempo|uri
que se encuentro con otro|tupaq
que se escapa|lari
que se lleva sobre la cabeza|tipa
que se lucha o choque con otro en combate|tupaq
que sirve para retener algo|hark'ana
que sufre o padece|ñak'ariq
que sufre pena o aflicción|llakikuq
que tiene arista aguda|q'acha
que tiene culpas|huchasapa
que tiene deuda|manuyuq
que tiene escritura|qillqayuq; qilqayuq
que tiene forma de arco|k'uru
que tiene harina|hak'u; aku
que tiene la nariz áspera|qhasqa sinqa
que tiene la vara|warayuq
que tiene marido|qusayuq
que tiene mucho tiempo|unayniyuq
que tiene mujer|warmiyuq
que tiene narices grandes|sinqa sapa
que tiene negra|yanayuq
que tiene negro|yanayuq
que tiene oficio de recibir algo|chaskiq
que tiene poder completo de curar|tukuy hanpiq
que tiene poder completo de la mente|tukuy yachayniyuq
que tiene poder completo de voluntad|tukuy munayniyuq
que tiene poder completo del cuerpo|tukuy llank'ayniyuq
que tiene problemas|hudidu
que tiene vestidura corta|pisi p'achayuq
que toca la zampoña|sikuri
que trae zaraguelles o pañetes (etimología incorrecta)|warayuq
que usa taparrabo (etimología incorrecta)|warayuq
que vive en la puna|puna runa
que viven maritalmente|tantasqa
que ya no corta|hallmu
que él ...|-chun
quebrada|qaqa; wayq'u; qishwa; qhishwa; qiswa; qhiswa; k'iswa; raqra; yunka
quebrada o barranco que está al frente de uno|chimpa; chinpa
quebradizo|p'akikuq; qhasñu; lluqhi
quebradizo (barro)|phapu
quebrado|qharanya; q'inqu q'inqu; p'akisqa
quebrador de ollas|mankap'aki
quebrantado|p'akisqa
quebrantar|p'akiy; chanqay; chhanqay; ch'anqay; ch'amqay; chamqay
quebrar|p'akikuy; p'akiy; k'iñay; laqray; raqray; laray
quebrar la ley|huchallikuy
quebrarse|p'akikuy
quebrárselo|p'akipuy
quechua|runasimi; runa simi; qishwa; qhishwa; qiswa; qhiswa; k'iswa
quechua (idioma)|qhishwa simi
quechua hablado en Ayacucho|Chanka
quechua hablado en el sur de Junín|Wanka
quedar|kakuy; puchuy; qhipay; tiyay; qhipakuy
quedar algo pegado o soldado|k'askay
quedar callado|amuyay
quedar curado|thaniy; thañiy
quedar detrás|qhipay
quedar hermoso|ch'askayay
quedar huérfano|wakchayay
quedar mudo|amuyay
quedar seca una cosa|ch'akiy
quedar suspenso por el asombro o la estupefacción|utirayay
quedarse|kakuy; qhipay; tiyay; takyay; qhipakuy; atikuy ...-man; atikuy; kidakuy
quedarse atrás|qhipay; qhipakuy
quedarse ciego|ayphuyay
quedarse como abstraído|t'ukuy
quedarse inmovilizado por la fatiga|utirayay
quedarse o detenerse en el lugar por algun tiempo|kamuy
quedarse perplejo|utirayay
quedarse rendido|laq'arayay; utirayay
quedarse sorprendido|utirayay
quedarse sólo|sapayay
quedarse turbado|utirayay
quehacer|ruwana
quehaceres domésticos|wasi ruwana
quejarse|willapakuy; ayquy; wahay; waqay
quejarse de|thutupakuy
quellu chchuru|q'illu ch'uru
quemado|ruphasqa
quemadura|k'arasqa; k'ara
quemadura (con ampolla)|phusulla; phusullu
quemante|rupha; ruphay; ruphaq
quemar|ninay; kañay; k'anay; kanay; kanachiy; k'anachiy; inqhay; ruphay; ruphachiy; sansay
quemar (arder)|ruphay
quemar (chamuscar)|q'aspay
quemar (comida picante)|hayay
quemar (intr.)|rawray; ñawray; lawray; larway; yawray
quemar con agua hirviendo|lluphiy
quemar el sol|ruphay
quemar en el fuego|ruphachiy
quemar los cabellos enteramente|khuslay; khusluy
quemar o calentar mucho una cosa|ruphay
quemar tejas|kusay
quemarse|ruphachikuy; ruphay
quemarse (intr.)|pariy; ruphayay
quena|qina
quentu|qinthu
quenturi|qinturi
querencia|munakuy
querer|munay; niy; ñiy; munakuy; -nata munay; khuyay; -yta munay
querer (desear)|-naya
querer apasionado|waylluy; waylluykuy; wayllukuy
querer decir|ñiyta munay; niy; ñiy
querer que|munay
querer tierno|waylluy; waylluykuy; wayllukuy
querida|munaqi; salla; munakusqa
querido|munasqa; munaqi; khuyay; chunkitu; munakusqa
queroseno|kirusina; kirusin
queso|kisu
queso aguanoso|lluqllu
queuña|q'iwiña; qiwiña; qiwuña; qiwña; qiñwa; q'iwña
queñua|q'iwiña; qiwiña; qiwuña; qiwña; qiñwa; q'iwña
quichua|runasimi; runa simi
quico ttica|kiku t'ika
quien|pichus
quien tiene por aliado la serpiente|Tupaq Amaru; Thupa Amaru
quienquiera|pillapis; pipis; pipas
quiero chicha|munani aqata
quiero escribir|qilqayta munani; qillqayta munani
quieto|qasi; qhasi
quietud|sama; qasi kay
quihuicha|kiwicha; achita
quijada|piku; q'aki; k'aki; qhaqlli; waqu; kapa
quimo|wiq'a
quimsa cucho|kinsa k'uchu
quina|kina
quince|chunka pichq'ayuq; chunka phishqayuq; chunka phisqayuq
quincena|chunka phisqayuq p'unchawmanta wakisqa mit'a
quincenal|sapa chunka phisqayuq p'unchawmanta wakisqa mit'a
quincha|qincha
quinientos|phisqa pachak
quinoa|kinuwa; kinwa; kiwna; kiwina
quinoa tostada|kuymi
quinquenal|phisqa wata unaq; phisqa watata unaq mit'a
quintal|kintal
quinto|phishqa kaq; phisqa kaq; pisqa kaq; phisqha; phisqaku; phisqañiqi
quinto mes del año|ayriwa killa; ayriway killa; ariwakikilla; ariwa killa; ariway kamay killa
quintuplicar|phisqachay
quinua|kinuwa; kinwa; kiwna; kiwina
quinual|q'iwiña; qiwiña; qiwuña; qiwña; qiñwa; q'iwña
quipu|khipu
quisa|kisa
quisca-quisca|waqra-waqra; khiska-khiska
quishuar|kiswar
quisquilla|yukra
quisuar|kiswar
quita sol|llanthuna
quitado|muthu; mut'u
quitar|muthuy; mut'uy; waykhay; qhuruy; qhichuy; qichuy; quchiy; qarquy; qharquy; hurq'uy; hurquy; huyqhuy; urqhuy
quitar (de un lugar)|sik'iy
quitar (mat -)|qhichuy; qichuy
quitar (robar)|suway
quitar (vestidos)|lluch'ukuy; lluchukuy
quitar (vestidos, pantalón)|ch'utikuy
quitar a alguien todo lo que posee|lluch'uy
quitar arrebatar|qhichuy; qichuy
quitar defectos|allinchay; chiqanchay
quitar el abono|wanuray
quitar el estiércol|wanuray
quitar la cubierta|qhataray
quitar la cáscara con cuchillo|munday; bunday
quitar la cáscara con las uñas|t'iqway
quitar la luz|laqhayachiy
quitar las hojas|laqhiy
quitar una cosa de la otra|atiray
quitar una parte|qhichuqay
quitarse|urqhukuy; ch'utikuy; lluch'ukuy; lluchukuy; ch'uskikuy
quitarse la ropa|ch'utikuy
quitasol|achiwa; llanthuna
quite de cuerpo que se hace en la lucha y en el juego|kachaña
quitárselo|qhichupuy
quizá|-nacha; ichá; icha; paqta; ichapis; icha; ichás; ichas
quizás|-chi; ichá; icha; ichapis; icha; ichus; ichás; ichas; -cha; -ch; -chá
quizás no|manach
quizás sí|arich; ichach
quién entre vosotros?|mayqinniykichiq
quién será|pichari
quiñual|q'iwiña; qiwiña; qiwuña; qiwña; qiñwa; q'iwña
qué grande?|mayna?; mayhina; may hina?
qué sucio, qué asco|Atataw!
rabadilla|chupa
rabia|luqhiyay; alqu unquy; phiñakuy; phiña; phiñay; ch'usku
rabioso|phiñasqa; phiña
rabo|chupa
rabo mocho|wit'u
racacha|raqacha; rakacha
racimo|kintu
racimo de banano|wayunka
racimo o cosa pendiente|uwas
racional|yuyayniyuq
racionalidad|yuyay
ración|achura
radiar|illanchay
radicar|tiyay
radio|illwa; wach'i tullu; radiyu; tukachina
raer|k'isuy
raer la ropa usándola|thantay
ragú|ququ
raja|ch'iqta; k'aktu; raqra; k'aka; wak'a
rajado|phata; laqrasqa; raqrasqa; laqra; raqra
rajadura|k'aka; wak'a; raqra
rajar|ch'iqtay; chiqtay; ch'iktay; k'iñay; raqhirayay; ch'illpiy; laqray; raqray
rajar leña|ch'iqtay; chiqtay; ch'iktay
rallador|thupana
rallar|kallay; thupay
rama|kallasqa; k'allmay; sach'a; sach'an; rikra; likra; riqra; rapha; rapra; rap'i; raphi; laphin; rap'a; rapi; laphi; ch'aphra; k'allma; rama
rama desgajada del tronco del árbol|k'aqlla
rama seca|ch'awkra
ramas deshojadas|ch'aphra
ramera|aricha
ramificación|k'allmay
ramificado|palqa; pallqa; p'alqa
ramificarse|k'allmay; k'allmachakuy
ramilla o rama pequeña de una planta|qallma
ramillete|kintu; t'ikawatasqa
ramo|k'allma; kintu; ch'aphra
rana|k'aylankuli; k'ayra; k'ayla; q'ayra; hamp'atu; hanp'atu
rana verde pequeña|pikaltultu
rancho|ranchu
ranura|ch'iqta
ranúnculo|amusiku
rapado|q'ala
rapar la cabeza|t'uqluy
rapazuelo|ch'iti
rapidamente|usqhay; usqay
rapido|usqaylla; usqhay; usqay
rapiñar|suway
raposa|q'arachupa
raptar|suway; pakay
rapto de la novia|suwanakuy
raquitismo|tullu unquy
raquítico|irk'i; irqi; hirq'i; irqhi; irq'i
rara vez|wamaq
raro|mana riqsisqa; manariqsisqa; wamaq
rascador|hasp'iq
rascar|hallp'iy; raspay; rachay; rachiy; hasp'iy; rashkay; raskhay
rascarse|hasp'iy
rasgado|llik'isqa; hallp'isqa
rasgar|qhasuy; ch'illpiy; hallp'iy; hasp'iy; lliq'iy; llik'iy; sik'iy
rasgar (tela|lliq'iy; llik'iy
rasgar la ropa con muchos rasgones|qhasurqayay; qhasurqariy
rasgar una tela o un papel|lliq'iy; llik'iy
rasgarse|rasgay
rasguñar|sillkuy; llawchiy; sillk'uy; hasp'iy; rachay; rachiy
rasguño|sillk'u
raso|qara llip'iyaq p'acha; qarallama
raspador|thupana
raspar|raspay; hasp'iy; thupay
rastrear|qhatipay; qhatichiy
rastreárselo|qhatipuy
rastro|chakisarusqa
rastro (huella)|yupi
rastrojo|rastruhu
rasurar|mururay; q'aray
rasurarse|pasikuy
rata|hatun huk'ucha; huk'ucha; ukucha
ratero|bulsa k'utu; suwa; makiyuq
ratito|ratitu
rato|ratu
raton|huk'ucha; ukucha
ratón|huk'ucha; ukucha
raviblanca|urpi; urpu; urpita
raya|siq'i; rak'i; umati
rayado|pirasqa
rayar|siq'iy; hasp'iy
rayar el alba|sut'iyay
rayo|illapu; illapa; illa; pinchi; illapa; illa; illapa
rayo de sol|wach'i ruphay
razonar|umalliy; hamut'ay; yuyaykuy; unanchay
razón|yuyay; yuya; hamut'a; chiqanyuyay; mutiwu; layku; rayku; humu; unancha
raíces en el cuerpo (en el cuello, el corazón, el estómago, el trasero) para la proyección de energía|saphi (kunka saphi, sunqu saphi, qusqu saphi, siki saphi)
raído|thanta
raído (ropa)|murqu
raíz|chupa; sap'i; saphi; sapi
raíz (de una palabra)|saphi
raíz de totora o junco|kawri
raíz parecida al camote, harinosa y de sabor dulce, que se come cocida y asada|unkucha
reachar|mat'ipayay
real|sut'i; sut'i kaq
realeza|qhapaqkay; qhapaq kay
realidad|sut'i; sut'i kaylla; suti; sut'i pacha; kashay
realidad abstracta|haqi
realidad concreta|sut'i
realinarse|siriy
realizado|qhispisqa; qispisqa; ruwasqa
realizar|qhispiy; ruray; ruway; paqtachiy
realmente|chiqallanmi; ari; chiqalla; riki
reanimar|kawsariy
reaparecer|rikhuriy; rikuriy
reasguñar|raqhirayay
reavivar|kawsachiy
rebajar|riwaqay; yawyachiy; pisiyachiy; waywachiy; yawyachiy
rebalsar|phullchiy; phurmuy
rebanada|qalla; q'allu
rebanado|q'allusqa
rebanar|q'alluy; q'allay; mat'ay
rebanarse|q'allukuy
rebañar|llunk'uy
rebaño|trupa; tama; llika
rebelarse|awqallikuy; q'iwikuy
rebelde|ankalli; atipakuq; awqa; wanana
rebosar|phuqchiy; phurmuy; phullchiy
rebotar|phinkiy; t'aqlapayay
rebozo|lliklla
rebuscar|k'uskiy; khuskiy; kuskiy; kutipakuy; mullkhiy; t'aqwiy
rebuscar escarbando|thawiy
recado|rikadu
recado (aderezos)|rikadu
recalcitrante|wanana
recalentar|thiqtichiy; q'uñichiy; kañay; k'anay
recalentar (comida)|pariray
recaudar|tantay
recelo|kharka
recepción|chhaski; chaski
receptor|hapiqaq; chaskiq
rechazar algo|q'illiy
rechazar por descontento|q'illikuy
rechinar los dientes|khaninanay
recibimiento|chhaski; chaski
recibir|chaskiy; hap'iy
recibir en la memoria|hap'iqay
recibir energía de la Pachamama (Madre tierra)|saywachakuy
recibir energía sutil del ambiente que nos rodea|saminchakuy
reciente|musuq
recientemente|chayraq
recinto de las serpientes|Amarukancha
recinto fortificado|pukara
recinto sagrado|kancha
recio|nanaq; siqha; sinchi
recipiente|aysana; winku
recipiente con que se extrae agua u otro líquido|wisina
recipiente de metal o plástico|tachu
recipiente en que se ordeña|ch'awana
recipiente grande de calabaza|hanq'ara; anqara
recipiente hecho de calabaza|mathi; mati
recipiente hecho de cierta clase de calabaza|mathi; mati
recipiente que se utiliza para rociar|ch'aqchuna
reciprocidad|ayninakuy; yanapana
recitación|arawi; yarawi
recién|risyin; -rqu-; -ru-; chayraq; kunallan; kunan
recién (hace poco)|chayraq
recién nacido|lat'u; qhullawawa
reclinado|siriq
reclinarse|siriykuy; k'iray
reclinarse sobre una almohada|sawnay
recobrar|kutiriy; qhaliyay; taripuy
recobrar (el aliento)|samay
recobrar el enfermo la salud|qhaliyay; thaniyay; allinyay
recobrar fuerza|kallpachakuy
