'a || a || venir de arriba abajo;desprenderse;caerse;desplomarse;caer;derrumbarse
mbojeheka || a || hacer buscar generalmente los medios de vida
mbojehu || a || hacer encontrar;hacer hallar o aparecer;descubrir;facilitar;proporcionar;causar;producir
mbojehýi || a || causar adormecimiento
mbojei || a || apartar;alejar;separar;retirar;desunir;hacer salir;hacer sacar
mbojeko || a || recostar;reclinar;apoyar arrimar;hacer descansar
mbojekuaa || a || revelar;descubrir;hacer ver;demostrar;aparecer;declarar;poner de manifiesto;aclarar;hacer conocer;exhibir;mostrar
mbojepepy || a || doblar;arquear o inclinar hacia atrás
mbojepi || a || perpetuar
mbojepigua || a || hacer periódicamente alguna cosa;perpetuar;hacer algo perdurable;hacer costumbre
mbojepoko || a || recostar;reclinar;apoyar;arrimar
mbojepokuaa || a || acostumbrar;avezar;habituar;familiarizar;aclimatar
mbojepota || a || prender o hacer fuego;avivar o agrandar el fuego;atizar;seguir;perseguir
mbojepovyvy || a || hacer revisar minuciosamente;hacer hurgar o palpar
mbojepy'apy || a || causar aflicción;apesadumbrar
mbojepyhéi || a || lavarle los pies a alguien;echarle a alguien de un lugar;separar;despedir del cargo
mbojepyso || a || hacer extender;estirar
mbojepytaso || a || hacer estribar;afirmar;poner los fundamentos;fundamentar
mbojera || a || crear;abrir un envoltorio;desplegar;liberar;libertar;poner en libertad
mbojero || a || hacer cruel
mbojero'a || a || inclinar una cosa sobre otra;ladear;someter
mbojeroky || a || hacer bailar;menear
mbojeroviarei || a || hacer ilusionar;hacer creer inutilmente
mbojetu'u || a || apuntalar;apretar;ajustar mucho una cosa contra otra;recalcar;hacer quedar obstinadamente en un lugar;empacarse;incrustrar;encajar
mbojevy || a || hacer retroceder;derrotar;hacer volver;rechazar;devolver;invertir;revertir;retrucar;vomitar;devolver;regurgitar
mbojoakykue || a || hacer o decir seguidamente alguna cosa;poner en fila uno tras otro
mbojoavy || a || desemparejar;desigualar;diferenciar;distinguir;variar;desnivelar;disgustar
mbojogua || a || hacer parecido o semejante a algo;hacer comprar
mbojoha || a || causar comezón o picazón;causar desazón y mal humor;irritar;malestar en la piel;criticar
mbojoivy || a || cantar a dúo;consertar dos veces;doblar;duplicar;hacer dos veces una misma cosa;hacer un hilado de doble filamento
mbojojahara || a || desempatar
mbojokuare || a || dar al blanco repetidas veces
mbojopara || a || mezclar;matizar;variar;aunar;fonfundir;entreverar cosas no líquidas
mbojopói || a || regalar;obsequiar
mbojovahéi || a || hacer lavar la cara
mbojovái || a || enfrentar;poner una cosa frente a otra para trabajar;discutir;altercar;replicar;rezongear;chantar
mbojovake || a || carear;encarar;oponerse;poner frente a frente
mbojovasa || a || mandar hacer la bendición o que se santigue;hacer dar la bendición;mandar hacer la señal de la cruz
mbojoyvy || a || doblar las hebras;duplicar;acoplar;hacer dúo;concertar dos voces en el canto
mboju'ái || a || causar bocio;hacer coto;hartar hasta el cansancio;causar malestar;fastidiar
mbojuapy || a || sumar;añadir;anexar;unir;juntar;continuar
mbojuavy || a || desemparejar;separar;desigualar;diferenciar;desnivelar;disgustar
mbojuehe || a || emparejar;igualar;unir
mbojuhu || a || hacer encontrar
mbojuku'a || a || hacer jadear
mbojuky || a || salar;poner sal a la comida;poner gracia y encanto
mbojupi || a || hacer subir;encumbrar;levantar;levantar en alto;levantar algo o alzar un poco;alzar;elevar;surgir;dejar un poco de espacio o claridad;entreabrir una tapa;robar
mbojupyru || a || hacer por turno;relevar;alternar
mbojurichuã || a || ponerle cadena o collar al cuello o cosa semejante
mbojuru || a || poner o hacer una boca;proveer de boca;abrir boquete;perforar;practicar un orificio para cargar o descargar
mbojuruhe'ẽ || a || halagar de palabras;endulzar;lisonjear;entusiasmar;adular;seducir;decir zalamerías;engatusar;mentir hábilmente
mbojurujái || a || embelesar;abobar;dejar a uno boquiabierto;pasmar;asombrar;causar asombro;admirar
mbojurumboty || a || hacer callar;anonadar al adversario con argumentos irrebatibles
mbojurupe'a || a || hacer abrir la boca o el pico
mbojurusã || a || encabestrar
mbojuruvy || a || entreabrir;entornar
mbojy || a || cocer;cocinar;guizar;aderezar viandas;picar;causar escozor;quemar
mbojyva || a || poner brazos a una figura
mbojyvarasy || a || hacer doler el brazo
mboka'a || a || poner la yerba en el mate;dar yerba mate;alimentar;sustentar
mboka'apa || a || agotar;aburrir;languidecer o canzar a una persona
mbokacha || a || sacudir con fuerza;hacer tambalear;bambolear;zarandear;agitar;mover;remover;menear;mecer
mbokaigue || a || perezar;hacer pereza;causar pereza;desganar;causar desgano;cansar
mbokakuaa || a || hacer crecer;desarrollar;educar;criar;acrecentar;engrandecer;agrandar;alimentar;instruir;educar
mbokakuaave/mongakuaave || a || dilatar;hacer más grande
mbokakykue || a || postergar;dejar atrás;relegar;diferir;posponer;atrasar
mbokarape || a || rebajar;abajar;hacer bajo de una cosa;poner más abajo;disminuir;inclinar;traer hacia abajo
mbokaráu || a || causar torcedura violenta en una coyuntura;luxar;torcer;dislocar;desencajar una cosa
mbokate || a || adornar;hermosear;engalanar;darse o alcanzar una posición social superior;poner elegante y decente uno cosa o persona
mbokatu || a || hacer posible o realizable;aprobar;despegar
mbokatu'ỹ || a || imposibilitar
mbokatupyry || a || capacitar;adiestrar;instruir;hacer diestro
mbokesu || a || poner queso a una comida;equivocarse en algo;errar
mbokora || a || acorralar;cercar;rodear;acediar
mbokoso || a || menear;agitar;comer apresuradamente
mbokoty || a || aposentar;dar hospedaje;dar alojamiento;encerrar;guardar en una pieza;encarcelar
mbokotyru || a || espiar
mboku'e || a || mover;sacudir para aflojar;aflojar;hacer que una cosa fija se mueva;disminuir la tirantez
mbokuaa || a || revelar;vincular;relacionar
mbokuaave || a || resaltar
mbokuapa || a || llenar de agujeros;acribillar
mbokuatia || a || empaquetar;envolver con papel
mbokuchu || a || sacudir;mover;agitar un recipiente cerrado para remover el contenido de líquido;bazuquear;revolver
mbokuejy || a || bajar;descargar;descolgar;hacer bajar;poner en sitio inferior;rebajar o disminuir de precio
mbokuera || a || curar;sanar;desintoxicar
mbokuerái || a || aburrir;molestar;fastidiar;cansar;causar tedio;impacientar
mbokurusu || a || poner la cruz al fallecido;hacer cruz con el dedo en señal de desaprobación;poner en forma de cruz dos palos
mbokusugue || a || reducir a ceniza;incinerar;destruir
mboky || a || infectar de piojos
mbokytu || a || hacer espiar
mboliga || a || alcahuetear;insistir por algo o por alguien constantemente;hacer liga;conseguir algo especialmente en un reparto;incitar
mbomini || a || hacer chico;achicar;empequeñecer
mboopívo || a || desnudar;desvestir;poner o dejar en cuero;dejar desnudo
mbopaha || a || terminar;liquidar;acabar;cesar;dar fin a una cosa;dar término;poner extremo;limitar;orillar;guarnecer la orilla de una tela;frisar una tela
mbopaje || a || hechizar;embrujar
mbopane || a || desgraciar;dar mala suerte;frustrar;fracasar
mboparagua || a || coronar
mbopave'ỹ || a || perpetuar;eternizar
mbope || a || achatar;aplastar;aplanar;allanar;despuntar;dormir
mbopepa || a || aplastar totalmente
mbopepe || a || hacer aletear a un ave prisionero
mbopepo || a || poner alas;tener consideración;abonar
mbopere || a || cicatrizar;marcar;dejar rastro en la piel
mboperepepe || a || hacer aletear
mboperere || a || hacer ruido semejante al que produce el aleteo de las aves;aturdir con ruidos de tambor
mbopeve || a || ensanchar
mbopi'i || a || estrechar;enflaquecer;huir;ceder;temer
mbopia || a || desviar;apartar;disuadir;hacer salir del camino
mbopicha || a || avergonzar;artar
mbopichoro || a || embriagar
mbopijoha || a || causar comezón;causar escozor;causar preocupación o desazón
mbopípu || a || vitorear
mbopire || a || hacer o ponerle piel a algo
mbopirerasy || a || hacer sufrir;ofender;agredir
mbopiresýi || a || alisar cuero
mbopiri || a || dar como cama al huésped una de piri
mbopiriri || a || chisporrotear;hacer ruido semejante al crujido que producen las hojas secas
mbopiro'y || a || refrescar;templar;entibiar algo caliente;sacar al viento;dejar libre;animar
mbopiru || a || secar;desecar;hacer que se seque;enflaquecer;adelgazar
mbopisu'u || a || chupar sangre
mbopo || a || hacer una mano;ponerle mano a una figura
mbopo'a || a || dar suerte;caer en gracia
mbopo'i || a || adelgazar;afinar un hilo;atemorizar;temer;retroceder;empequeñecer;respetar;acobardarse;no animarse;sentir miedo
mbopochy || a || enojar;enfadar;disgustar;irritar;encolerizar;provocar;enfurecer;embravecer;impacientar
mbopochyjera || a || desenojar;conciliar;abuenar;apaciguar;quitar el enojo;desgraviar
mbopoguasu || a || engrosar;magnificar;hacer grueso el hilo;complicar una cosa
mbopohýi || a || hacer pesado;medir el peso;pesar
mbopohyive || a || hacer más pesado;cargar más
mbopoi || a || desprender;hacer soltar;hacer largar;dejar en libertad;hacer que alguien se aparte
mbopoko || a || hacer palpar o tocar
mbopopegua || a || dar herramienda;propinar;regalar;premiar;recompensar;remunerar
mbopopo || a || hacer brincar o saltar
mbopore || a || dejar huellas
mbopororo || a || hacer ruido como al tostarse el maíz;crepitar;chisporrotear;tirotear;tirar frutas debajo de un golpe;disparar arma de fuego
mbopoty || a || adornar con flores o borlas;hacer florecer
mbopuka || a || hacer reir;hacer estallar la música
mbopukuve || a || prolongar;prorrogar
mbopupu || a || hacer hervir;cocer;sancochar
mbopurahéi || a || hacer cantar
mbopurei || a || tocar sin método
mbopurory || a || ejecutar con gracia y buen ánimo
mbopuru'a || a || preñar;engendrar;embarazar;fecundar;poner en cinta
mbopururu || a || hacer crujir
mbopy || a || poner pata;colocar los pies a un muñeco
mbopy'aguapy || a || tranquilizar;pacificar;serenar;sosegar;calmar;apaciguar;amansar;reconciliar
mbopy'aguasu || a || dar coraje;infundir valor;animar;alentar;envalentonar;incitar;estimular
mbopy'ahatã || a || envalentonar;animar;infundir valor;dar coraje;incitar;alentar
mbopy'aheta || a || hacer dudar;vacilar;causar indecisión;poner indecisión
mbopy'ahýi || a || causar ansiedad;causar apetito
mbopy'ajere || a || causar náuseas;causar deseos de vomitar;causar repugnancia;estomagar;remover el estómago;sentir náuseas;indisponer;repugnar;indigestar;asquear;amargar
mbopy'ajuru || a || dar golpe en el bajo vientre
mbopy'akangy || a || debilitar
mbopy'amano || a || narcotizar
mbopy'amirĩ || a || acobardar;amilanar;amedrentar;causar miedo
mbopy'angata || a || entristecer;preocupar;acongojar;afligir;desasosegar;intranquilizar;inquietar
mbopy'apeteĩ || a || tomar determinación;decidir;resolver
mbopy'aporã || a || alegrar;predisponer
mbopy'arasy || a || causar rencor;afligir;atribular;entristecer;ofender;resentir;contristetar;lastimar;vejar;causar apetito
mbopy'aro || a || amargar;enemistar;hacer que alguien se sienta amargado y rencoroso;causar rencor;malestar
mbopy'aropu || a || causar sofocación;atafagar;causar gran molestia
mbopy'arory || a || alegrar;causar alegría
mbopy'atarova || a || desesperar;desasocegar;entontecer
mbopy'atyai || a || afligir;intranquilizar
mbopy'atytýi || a || amedrentar;atemorizar;sorprender;asustar;espantar;acobardar;ahuyentar
mbopy'avai || a || indigestar;asquear;causar náuseas;amargar;disgustar
mbopy'avu || a || llenar de gas estomal
mbopy'i || a || hacer angosto;estrechar;hacer plieges;menudear;achicar la pata;dotar de piecesito
mbopya'e || a || apresurar;acelerar;urgir;apurar;agilizar;dinamizar;activar
mbopyahujey || a || renovar;hacer nuevamente;hacer de nuevo otra vez
mbopyapy || a || esposar;estimular para tener garras
mbopygua || a || abollar
mbopyguasu || a || ampliar;ensanchar;agrandar
mbopyhare || a || hacer esperar la noche
mbopyi || a || hacer resbalar
mbopyka'i || a || angostar;hacer angosto;estrechar;hacer plieges;menudear
mbopykechẽ || a || causar cojera
mbopyko'ẽ || a || ahuecar;hacer cóncava una cosa;hacer hoyo;abollar;acanalar;ahondar
mbopypore || a || dejar o hacer huellas con el pie
mbopypuku || a || ahondar;profundizar;cavar profundo;colocar pata larga o de pie largo;estudiar con profundidad
mbopytu'u || a || hacer descansar;hacer calmar;aliviar;sosegar;hacer dormir;relevar;acallar
mbopytupa || a || asfixiar ahorcando;ahogar
mborauvõ || a || agorar;pronosticar;presagiar
mborea || a || pasar el tiempo;decir puro disparate
mboro'y || a || refrescar;enfriar;hacer frio
mborora || a || hacer áspero;hacer dificultosa
mboruri || a || allanar
mbory || a || aguar;licuar
mboryevu || a || llenar de gas estomal
mbosa'i || a || desmenuzar;partir;dividir;sencillar un billete;cambiar dinero grande por algo más sencillo
mbosa'y || a || pintar;colorear
mbosa'yho || a || desteñir;descolorar
mbosa'yju || a || amarillear;impregnar de amarillo;teñir o dar color amarillo;dorar;palidecer
mbosapo || a || desorbitar el ojo;hacer meditar
mbosapukái || a || hacer gritar
mbosapymi || a || hacer cerrar el ojo;guiñar
mbosevo'i || a || causar sabañones en los pies o manos;preparar carnada
mboso'o || a || dar por terminado por una mala causa
mbosogue || a || empobrecer
mbososo || a || batir clara;batir fibras;quebrantar el cuerpo por la fatiga;causar temblor en las rodillas;rendir
mbosuru || a || introducir o hacer entrar a la fuerza y con violencia;forzar
mbosyry || a || hacer correr el agua o cualquier líquido;escurrir;resbalar;canalizar;deslizar;fluir
mbosyryry || a || hacer correr con fuerza;deslizar un objeto por el suelo;arrastrar;hacer arrastrar;escurrir;evadir;resbalar;fluir;desaparecer
mbosysýi || a || hacer temblar;causar estremecimiento
mbotapeku'a || a || llevar hasta la mitad del camino
mbotapereja || a || desviar del camino
mbotapykue || a || postergar;relegar;diferir;posponer;dejar atrás;atrasar;retardar;descalificar
mbotarara || a || hacer temblar;hacer estremecer;hacer tiritar;hacer castañear;dar golpes sucesivos y violentos
mbotarova || a || enloquecer;hacer perder la razón;sacar de quicio;atormentar;embobar;trastornar;hacer clamar insistentemente
mbotatapeju || a || hacer huir;ahuyentar
mbotavy'o || a || desengañar;enseñar
mbotavyky'a || a || engañar de modo innoble;trapacear;seducir con astucia
mbotavyrai || a || atolondrar;abobar;atontar;aturdir;entorpecer
mboterere || a || hacer;preparar o dar tereré
mbotevi || a || vencer;dejar atrás al adversario
mbotiri || a || rajar;hacer estallar;hacer achispar;hender;producir rajadura
mbotorore || a || arrullar;hacer arrorro;acunar;mecer;hamacar;columpiar;cunar;balancear
mbotove || a || negar;denegar;no acceder;no admitir;denegar;rechazar;imposibilitar;rehusar;prohibir
mbotuichave || a || incrementar;ampliar
mbotuja || a || envejecer al hombre;hacer envejecer;añejar;arcaizar;deteriorar
mbotuju || a || enlodar;embarrar;encenagar;hacer podrir;corromper;podrir
mbotuli || a || incitar a una acción;azuzar;soliviantar;estimular
mboty'o || a || abrir
mbotyai || a || descomponer;enturbiar la limpidez del agua;alterar el orden;perturbar
mbotýra || a || acompañar la comida con pan;condimentar
mbotytýi || a || hacer latir;palpitar;tiritar;castañetear;sacudir con violencia y furia
mbotytypy || a || descomponer;enturbiar la limpidez;alterar
mbovai || a || afear;deslucir;tachar;tener por malo;corromper;pervertir;deformar;estropear;desfigurar
mbovaive || a || agravar;empeorar;hacer más feo
mbovapy || a || voltear;poner de bruces;colocar o poner boca abajo;empinar el codo
mbovava || a || menear;oscilar;agitar bandera;blandir;balancear;tambalear;fluctuar;vacilar
mbovera || a || lustrar;abrillantar;bruñir;relucir;hacer brillar;pulir;mostrar las partes pudendas;hacer lustroso
mboveve || a || hacer volar;dejar volar;poner en libertad un pájaro;remontar;aventar;flamear;hacer ondear;hacer ondular;flotar;robar;hurtar
mbovevúi || a || alivianar;mitigar;paliar;aligerar;aliviar la carga;hacer flotar;boyar;sobrenadar
mbovo || a || partir;dividir con instrumento cortante en fracciones;rajar;hender;cercenar;rebanar;seccionar;fraccionar;trozar
mbovori || a || agregar más vori a la comida
mbovosa || a || embolsar
mbovupoi || a || desinflar
mbovy || a || escasear
mbovyvyjegua || a || bordar
mboye || a || hacer tener diarrea
mboyke'ã || a || inclinar;voltear;ladear
mboyku || a || disolver;derretir;desleir;diluir;fundir
mboykue || a || mojar;humedecer algo con un líquido o embeberlo en él
mboypy'a || a || cuajar;cortar;espesar;congelar;espesar;solidificar;coagular
mboysaja || a || dar forma
mboysapy || a || rociar;mojar con rocío;poner al rocío;hacer que caiga el rocío;regar
mboysýi || a || enfilar;poner en fila;insertar
mboyta || a || colocar horcón o soporte para la casa
mboyvapa || a || hacer dobleces;plagar;doblar
mboyvate || a || levantar;alzar;elevar;encumbrar;llevar arriba;poner o colocar arriba;dar altura;enaltecer
mboyvateve || a || realzar
mboyvoty || a || florear
mboyvyguy || a || poner bajo tierra;ocultar bajo tierra;enterrar
mboyvyra || a || enmaderar;adornar con madera;poner o cubrir con madera;proporcionar madera;poner o plantar árboles
mboyvytu || a || airear;ventilar;soplar;hacer viento;orear;exponer al viento;aventar;aliviar;librar del estorbo
mbuepoti || a || pegar;castigar;azotar;zurrar;fustigar;flagelar;retar;reprender;reprochar;vapulear;derrotar
mburea || a || dar mugido;mugir;bramar;bufar;gruñir
mbyaive || a || desmejorar;empeorar
mbyakujey || a || recalentar
mbohakuvevýi/mbyakuvevýi || a || entibiar
mbyakuvo || a || calentar más y más;sofocar;hacer sudar;hacer evaporar;hacer calor sofocante y húmedo
mbyaky'o || a || urdir
mbyao || a || arropar;vestir;proveer de traje a alguien;trajear;proporcionar o dar ropa
mbyapepu || a || hacer sonar un tambor;dar golpes violentos;flagelar
mbyapu'a || a || redondear;ovalar;hacer redonda;arrollar;ovillar;sintetizar
mbyaruru || a || remojar;poner en remojo;mojar ropa
mbyasuru/mboasuru || a || introducir o hacer entrar a la fuerza;meter con violencia
mbyasy || a || lamentar;quejarse;expresar disgusto por una contrariedad;condolerse;sentir;arrepentirse
mbyepoti || a || pegar;castigar;azotar;torturar;zurrar;chicotear;fustigar;flagelar;retar;reprender;reprochar;vapulear
mbyesa'i || a || sencillar o cambiar dinero;desmenuzar;partir;dividir
mbyesarái/mbohesarái || a || hacer olvidar
mbyesavi || a || guiñar el ojo;hacer mal al ojo;hacerle bizco o tuerto a alguien
mbyesay || a || hacer llorar;hacer lagrimear;hacer verter lágrimas
mitãherouka || a || inscribir
mo'ãnga'u || a || pensar;formar en la mente ideas y conceptos;hacer proyectos para poner en práctica alguna cosa;imaginar;suponer
mo'ãngekói || a || sublevar;amotinar;poner en tumulto
moaĝui || a || acercar;avecinar;aproximar
moakã || a || encabezar;dirigir;dirigir un grupo;gobernar;liderar;poner cabecera;hacer encabezamiento
moakãchara || a || despeinar
moakãguapy || a || sosegar
moakãjegua || a || coronar
moakãjoja || a || igualar las hojas
moakãrapu'ã || a || hacer erguir;hacer prosperar;dar inicio la una etapa de progreso;hacer levantar la cabeza;reanimar;promover
moakãratĩ || a || engañar;ponerle los cuernos a alguien;encornudar;criar cuernos;ser infiel;hacer cornudo al alguno
moakãsẽ || a || asomar
moakãtarova || a || atontar
moakãtavy/moakãtavyrai || a || entontecer;atontar;aturdir;desconcertar;azonzar
moakytã || a || hacer terrones;hacer nudos;hacerse una comida toda grumosa;hacer pedazos
moanambusu || a || engrosar
moãngajuvy || a || pesar
moãngareñói || a || presentir;llamar la atención
moãngata || a || entristecer;preocupar;acongojar;afligir;desasosegar;intranquilizar;inquietar;causar preocupación
moãngekói || a || molestar;importunar;inquietar;perturbar;turbar;acongojar;desasosegar penar;aturdir;interrumpir;incomodar;atormentar
mo'ãngueasy || a || fustrarse
moañete || a || confirmar;asegurar;autenticar
moapamona || a || hacer untar;untar
moapañuãi || a || enredar;confundir;enmarañar;cazar con trampas
moapehũ || a || tizonear;tiznar;ennegrecer;pintar de negro
moapekũma || a || poner al humo;tiznar;pintar de negro
moapesã || a || poner en ristre;enristrar;colgar;agavillar;formar haces;hacer racimos;apiñar
moapetĩ || a || blanquear
moapokytã || a || anudar;hacer terrón o cosa análoga;atar con nudo;atar cabos
moapopẽ || a || ondular;ondear;enrular;rizar;ensortijar;rizar el cabello
moapovõ || a || engomar;hacer espeso y gomoso;hacer gomoso;untar de goma;engrudar;espesar
moapyre'ỹ || a || perpetuar
moaramirõ || a || almidonar
moarandu || a || enseñar;instruir;hacer sabio;ilustrar;desasnar
moataindy || a || alumbrar;prender vela
moatãre'ỹ || a || hostigar
moatãve || a || aumentar de fuerza
mocha'ĩ || a || arrugar;fruncir;encoger el cuerpo por efecto de un dolor muy agudo
mochĩchĩ || a || agasajar;mimar;acariciar
mochororĩ || a || enrular;ondular;ensortijar
mochumbe || a || ceñir
moĝuahẽ || a || hacer llegar;albergar;acoger;hospedar;alojar;recibir
moĝuaiĝui || a || envejecer
moha'ã || a || hacer probar;hacer medir;hacer intentar;hacer remedar;hacer tirar
moha'ãrõ || a || hacer esperar
moha'ãrõrei || a || hacer esperar inultimente;hacer ilusionar
moha'eño || a || aislar;dejar solo;separar;apartar;incomunicar
mohaguino || a || fermentar;hacer fermentar;hacer hedor
mohaguyrõ || a || producir excitación carnal;provocar o causar lascivia;excitar el sexo o apetito sexual;exitar sexualmente
mohãi || a || hacer poner los dientes;dentar;dar filo;afilar
mohãijehýi || a || causar dentera
mohãimbe || a || hacer filoso;afilar
mohakã || a || ramificar;poner ramas
mohavẽ || a || enmohecer;oxidar
mohavõ || a || enjabonar;jabonar
mohe'ẽ || a || endulzar con sal o con azucar;endulzar;salar;dulcificar;dar por bueno;aprobar;decir que sí;asentir;aceptar con mucho gusto
mohe'ẽmby || a || endulzar o salar un poco
mohe'õ || a || humedecer;mojar;regar;irrigar;remojar
mohembe || a || dar corte
mohembe'y || a || limitar;orillar;guarnecer la orilla de una tela;frisar una tela;añadir;poner extremo o fin;hacer sacar punta;marginar;preparar algo cerca del camino
mohembi'u || a || abastecer;alimentar
mohembiapo || a || dar trabajo;ocupar;emplear
mohendague || a || reemplazar;relevar;sacar de lugar
mohendakuaa || a || saber acomodarse;medrar con astucia generalmente innoble;trepar como se dice que hacen los politiqueros u oportunistas
mohendyno'õ || a || desear una cosa
mohendyvapo || a || afeitar
mohenimbo || a || hilar;enhebrar
mohenonde || a || guiar;poner o colocar adelante;avanzar;adelantar;anteponer;preceder;preferir;encabezar una marcha;deferir
mohenyhẽte || a || llenar hasta el borde
moheñói || a || engendrar;crear;fundar;producir;originar
moherãkuã || a || divulgar;difundir una novedad;propagar;propalar;publicar;ilustrar;dar notabilidad;dar fama;dar renombre;popularisar;proclamar
moherãkuãvai || a || calumniar;difamar;vilipendiar;dar mala información;desprestigiar;desacreditar;dar mala fama;menoscabar;dar mala noticia sobre la actitud de alguien;tiznar
mohesãi || a || sanar;sanear;dar salud;tonificar;mantener sano;curar;devolver la salud al enfermo
mohesatũ || a || cegar;entuertar;dejar tuerto o ciego;dejar a uno sin la vista de un ojo;lastimar el ojo
mohetã || a || nacionalizar
mohokẽ || a || poner puerta;colocar la puerta
mohovahũ || a || tiznar la cara
mohũ || a || ennegrecer;pintar de negro
mohu'ã || a || culminar;terminar;acabar;consumar;completar;concluir
mohu'ũ || a || ablandar;remblandecer;sobar;suabizar;machacar;machucar
mohũmohũ || a || contar con términos equivocos o reticentes;hablar con reticencia;decir a medias una cosa;relatar algo en forma confusa y expresarse con reservas mentales;discutir;contar ocultando lo que se quiere significar;no aclarar nada;tratar de confundir
mohyakuã || a || perfumar;despedir olor
mohypy'ũ || a || espesar;hacer espeso;consistenciar;condensar un líquido;densificar;tupir;enturbiar;confundir;embrollar
mohyvatã || a || saciar;satisfacer;hartar
moĩhekópe || a || regular
moĩjey || a || restablecer
moĩmba || a || completar;poner todo;terminar de poner
moingepa || a || introducir todo;incluir a todos;arrear al corral
moingoe || a || diferenciar;variar;hacer diferente;desigualar;distinguir;apartar
moingoepy'ỹ || a || regular
moingove || a || vivificar;hacer revivir;hacer volver en sí;dar vida;iniciar una actividad;animar;inspirar vida
moinimbo || a || enhebrar;pasar la hebra por el ojo de la aguja
moirũve'ỹ || a || desamparar;abandonar
moĩvai || a || desordenar
mokã'ẽ || a || asar;someter a la carne a un calor seco directo
mokachiãi || a || hacerse del simpático;ser grosero;abellacar
mokane'õ || a || cansar;causar cansancio;fatigar;rendir
mokãngue || a || poner hueso
mokãngueso || a || descoyuntar
mokangy || a || languidecer;debilitar;abatir;aflojar;relajar los músculos;causar abatimiento;causar languidez;deprimir
mokarapã || a || encorvar;arquear hacia adelante;torcer;doblar;curvar;inclinar;flexionar
mokarapã'o || a || rectificar
mokarapãchãi || a || añadir;agregar
mokarẽ || a || torcer;doblar;inclinar;lisiar;estropear;hacer rengo o renco;encorvar;arquear hacia adelante;doblar;combar
mokatĩ || a || causar mal olor
mokichi'ĩ || a || aserrar;serruchar
mokirirĩ || a || acallar;silenciar;aquietar;sosegar;pacificar
moko'ẽ || a || hacer amanecer;hacer pasar toda la noche hasta el amanecer;poner al sereno;dejar amanecer
mokõkõ || a || tragar sin masticar;engullir rápidamente;devorar;comer casi sin masticar
mokoni || a || contonear;hacer esguince
mokõsoso || a || engullir rápidamente;devorar
mokuarahy'ã || a || llevar a la sombra algo;hacer sombra;sombrear;poner a la sombra
mokucha'ã || a || deformar
mokuruchĩ || a || encoger;achicar
mokyre'ỹ || a || activar;alentar;entusiasmar;animar;reanimar;impeler;avisar;estimular;dar brío;enardecer;instigar
mokyrỹi || a || hacer o causar cosquillas;cosquillar;excitar
moma'ẽ || a || hacer mirar;hacer ver;hacer contemplar;hacer atender
momandu'a || a || hacer recordar;evocar;mencionar;memorar;recordar a estimular a uno;conmemorar;celebrar
momarã || a || manchar;ensuciar;vilipendiar;viciar;dañar;menoscabar;mancillar;injuriar;corromper cosas
momarãndu || a || avisar;advertir;apercibir;prevenir;dar aviso;informar;comunicar;anunciar;notificar;participar;publicitar;pregonar;recordar
momarãnduka || a || notificar
momba'embyasy || a || entristecer;conmover
momba'erechakuaa || a || dar conciencia;hacer reconocer
momba'érõ || a || honrar;guardar consideración;apreciar
mombarete || a || fortalecer;reforzar;robustecer;vigorizar;asegurar;afirmar;estimular;tonificar
mombauka || a || hacer terminar;hacer cesar;suspender;hacer eyacular;hacer llegar al orgasmo
mombe'uka || a || comunicar;enviar para comunicar;mandar un recado;mandar a informar;participar
mombe'upa || a || desembuchar;contar todo
mombegue || a || aminorar;atenuar o retardar la marcha;bajar el volumen
mombi || a || hacer cesar;terminar;culminar;concluir;calmar un dolor;detener una hemorragia
momborei || a || malgastar;desperdiciar;derrochar;dilapidar;tirar sin razón
momboriahu || a || empobrecer;depauperar
mombouka || a || mandar echar;hacer tirar
mombovy || a || reducir;disminuir de cantidad;restar;descontar
mombuka || a || operar;hacer reventar
mombyky || a || acortar;abreviar;resumir;reducir;encoger;hacer corto;disminuir;truncar;hacer leve
mombyta || a || detener;frenar;hacer detener;hacer quedar;atajar;suspender;aquietar;parar;sujetar;paralizar;fijar;estancar;equilibrar
mombyte || a || centrar;mediar
mombytu || a || tostar
momeĝua || a || deformar;desfigurar;hacer defectuoso;corromper;descomponer;desfigurar;perjudicar;estropear;desflorar;desvirgar;cambiar de lugar
momemby || a || hacer fecundar a la mujer;fecundar;engendrar;dar hijo a la mujer o hembra
momembykua || a || hacer abortar
momenda || a || hacer casar;unir en matrimonio
momichĩ || a || achicar;disminuir de tamaño;empequeñecer;atenuar;mermar;decrecer;rebajar;minorar;reducir;restringir
momichĩete || a || reducir al mínimo
momimói || a || cocer hirviendo una comida;hervir un alimento crudo;cocinar;guisar;sancochar
momini || a || hacer chico;achicar
momirĩ || a || humillar;rendir
momokõi || a || duplicar;ser infiel
momombyry || a || poner lejos;alejar;apartar
momorotĩ || a || blanquear
momyanduhe || a || acentuar
momýi || a || mover;tocar suavemente;sacudir;remover;poner en movimiento;hacer mover;zozobrar;menear
momyimba || a || poner en tensión;movilizar
momymba || a || amansar
momymýi || a || mover;sacudir;menear;impulsar;remover
momytue || a || consolar
momytuhẽ || a || hacer descanzar;respirar;consolar
monambi || a || apresar;llevar preso;encarcelar
monandi || a || vaciar;desocupar;librar;desnudar;descubrir
mondororo || a || romper desgarrando;arrancar y romper desgarrando
mondoso || a || romper
mondua || a || cazar
